pin,address,lat,lon
16051150150000,1039 MAPLETON AVE,41.9052265,-87.78184444
16051150160000,1035 MAPLETON AVE,41.90513491,-87.78184523
16051150170000,1033 MAPLETON AVE,41.90503242,-87.78186575
16051150180000,1031 MAPLETON AVE,41.90494444,-87.78185669
16051150190000,1027 MAPLETON AVE,41.90484907,-87.78183297
16051150200000,1025 MAPLETON AVE,41.90476114,-87.78183373
16051150210000,1023 MAPLETON AVE,41.90467687,-87.78183445
16051150220000,1021 MAPLETON AVE,41.90457076,-87.78184518
16051150230000,1017 MAPLETON AVE,41.90447916,-87.78184597
16051150240000,1015 MAPLETON AVE,41.90440582,-87.78183188
16051150250000,1013 MAPLETON AVE,41.90431794,-87.78184245
16051150260000,1009 MAPLETON AVE,41.90422261,-87.78182854
16051150270000,1007 MAPLETON AVE,41.9041309,-87.7818048
16051150280000,1003 MAPLETON AVE,41.90404297,-87.78180555
16051150290000,1001 MAPLETON AVE,41.90395522,-87.78184557
16051150300000,1049 MAPLETON AVE,41.90566866,-87.78188138
16051150310000,1047 MAPLETON AVE,41.90557756,-87.78184751
16051160010000,1050 MAPLETON AVE,41.9056819,-87.78130556
16051160020000,1048 MAPLETON AVE,41.9055831,-87.78133096
16051160030000,1046 MAPLETON AVE,41.90549883,-87.78133168
16051160040000,1042 MAPLETON AVE,41.90540719,-87.78132265
16051160050000,1040 MAPLETON AVE,41.90531924,-87.7813185
16051160060000,1038 MAPLETON AVE,41.90522398,-87.78131932
16051160070000,1034 MAPLETON AVE,41.90512135,-87.78131039
16051160080000,1032 MAPLETON AVE,41.90503344,-87.78131606
16051160090000,1028 MAPLETON AVE,41.90493445,-87.78130219
16051160100000,1026 MAPLETON AVE,41.90483182,-87.78129326
16051160110000,1024 MAPLETON AVE,41.90474755,-87.78129398
16051160120000,1020 MAPLETON AVE,41.9046449,-87.78128039
16051160130000,1018 MAPLETON AVE,41.90454597,-87.78128124
16051160140000,1014 MAPLETON AVE,41.9044544,-87.78128694
16051160150000,1012 MAPLETON AVE,41.90436274,-87.78127301
16051160160000,1010 MAPLETON AVE,41.90426382,-87.78127386
16051160170000,1006 MAPLETON AVE,41.90416849,-87.78125996
16051160180000,1004 MAPLETON AVE,41.90407316,-87.78124606
16051160190000,1000 MAPLETON AVE,41.90397419,-87.78123709
16051160200000,1051 N LOMBARD AVE,41.90568616,-87.78066775
16051160210000,1047 N LOMBARD AVE,41.90560192,-87.78067338
16051160220000,1045 N LOMBARD AVE,41.90551399,-87.78067414
16051160230000,1043 N LOMBARD AVE,41.90542223,-87.78064058
16051160240000,1041 N LOMBARD AVE,41.90533442,-87.78066587
16051160250000,1039 N LOMBARD AVE,41.90523904,-87.78064216
16051160260000,1035 N LOMBARD AVE,41.90514745,-87.78064295
