pin,year,class,char_yrblt
16051040250000,2020,203,1922.0
16051040250000,2021,203,1922.0
16051040250000,2022,203,1922.0
16051040250000,2023,203,1922.0
16051040250000,2024,203,1922.0
16051040250000,2025,203,1922.0
16051040250000,2026,203,1922.0
16051040260000,2020,203,1923.0
16051040260000,2021,203,1923.0
16051040260000,2022,203,1923.0
16051040260000,2023,203,1923.0
16051040260000,2024,203,1923.0
16051040260000,2025,203,1923.0
16051040260000,2026,203,1923.0
16051040270000,2020,204,1926.0
16051040270000,2021,204,1926.0
16051040270000,2022,204,1926.0
16051040270000,2023,204,1926.0
16051040270000,2024,204,1926.0
16051040270000,2025,204,1926.0
16051040270000,2026,204,1926.0
16051040280000,2020,204,1924.0
16051040280000,2021,204,1924.0
16051040280000,2022,204,1924.0
16051040280000,2023,204,1924.0
16051040280000,2024,204,1924.0
16051040280000,2025,204,1924.0
