pin,class,nbhd,mailed_bldg,mailed_land,mailed_tot,ap_lat,ap_lon,address,char_apts,char_bldg_sf,char_land_sf,char_yrblt,char_use,n_cards,lat,lon,coord_source,arcgis_name,parceltype
16051010060000,EX,27030,0,0,0,41.90885408,-87.78240224,6235 NORTH AVE,,,,,,,41.90886742797568,-87.78240625041983,arcgis_pin14,16051010060000,BaseParcel
16051010070000,EX,27030,0,0,0,,,6201 NORTH AVE,,,,,,,41.908868728531885,-87.78230008555548,arcgis_pin14,16051010070000,BaseParcel
16051010080000,205,27030,46500,8500,55000,41.90858928,-87.78310792,1230 N RIDGELAND AVE,,2052.0,5000.0,1955.0,Single-Family,1.0,41.908590173456744,-87.78297782298898,arcgis_pin14,16051010080000,BaseParcel
16051010090000,203,27030,34500,8500,43000,41.90847838,-87.7829961,1228 N RIDGELAND AVE,,1442.0,5000.0,1924.0,Single-Family,1.0,41.90848044137759,-87.78297415405117,arcgis_pin14,16051010090000,BaseParcel
16051010100000,204,27030,52500,8500,61000,41.90836801,-87.78299705,1224 N RIDGELAND AVE,,2510.0,5000.0,1924.0,Single-Family,1.0,41.90837070857226,-87.78297048698403,arcgis_pin14,16051010100000,BaseParcel
16051010110000,203,27030,35500,8500,44000,41.90826421,-87.78301556,1222 N RIDGELAND AVE,,1623.0,5000.0,1924.0,Single-Family,1.0,41.908260976665076,-87.78296683738681,arcgis_pin14,16051010110000,BaseParcel
16051010120000,204,27030,38500,8500,47000,41.9081604,-87.78303349,1220 N RIDGELAND AVE,,2110.0,5000.0,1924.0,Single-Family,1.0,41.90815124457952,-87.78296316847201,arcgis_pin14,16051010120000,BaseParcel
16051010130000,203,27030,37500,8500,46000,41.90804351,-87.78302568,1216 N RIDGELAND AVE,,1676.0,5000.0,1924.0,Single-Family,1.0,41.908041512668085,-87.78295950145525,arcgis_pin14,16051010130000,BaseParcel
16051010140000,204,27030,52500,8500,61000,41.90793311,-87.7830184,1212 N RIDGELAND AVE,,2313.0,5000.0,1924.0,Single-Family,1.0,41.90793177967795,-87.78295583255147,arcgis_pin14,16051010140000,BaseParcel
16051010150000,203,27030,34500,8500,43000,41.9078227,-87.78301054,1210 N RIDGELAND AVE,,1461.0,5000.0,1924.0,Single-Family,1.0,41.907822047765116,-87.7829521658726,arcgis_pin14,16051010150000,BaseParcel
16051010160000,204,27030,45500,8500,54000,41.90770585,-87.78301155,1206 N RIDGELAND AVE,,1957.0,5000.0,1924.0,Single-Family,1.0,41.90771234330359,-87.7829485157748,arcgis_pin14,16051010160000,BaseParcel
16051010170000,204,27030,39500,8500,48000,41.90758249,-87.7830038,1204 N RIDGELAND AVE,,1988.0,5000.0,1923.0,Single-Family,1.0,41.907602610307045,-87.78294484690429,arcgis_pin14,16051010170000,BaseParcel
16051010180000,205,27030,45982,9019,55001,41.9074916,-87.78301339,1200 N RIDGELAND AVE,,1860.0,5305.0,1925.0,Single-Family,1.0,41.907490325949894,-87.78294109299493,arcgis_pin14,16051010180000,BaseParcel
16051010190000,204,27030,44500,8500,53000,41.90859251,-87.78242952,1231 N HARVEY AVE,,2203.0,5000.0,1928.0,Single-Family,1.0,41.90859652744142,-87.78246004673855,arcgis_pin14,16051010190000,BaseParcel
16051010200000,204,27030,43500,8500,52000,41.90848206,-87.78241344,1227 N HARVEY AVE,,2269.0,5000.0,1925.0,Single-Family,1.0,41.908486821733675,-87.78245628933331,arcgis_pin14,16051010200000,BaseParcel
16051010210000,204,27030,57500,8500,66000,41.90838465,-87.78241428,1225 N HARVEY AVE,,2265.0,5000.0,1924.0,Single-Family,1.0,41.90837708911222,-87.78245252847326,arcgis_pin14,16051010210000,BaseParcel
16051010220000,203,27030,28500,8500,37000,41.90826785,-87.78242409,1223 N HARVEY AVE,,1131.0,5000.0,1924.0,Single-Family,1.0,41.90826735666778,-87.7824487698008,arcgis_pin14,16051010220000,BaseParcel
16051010230000,204,27030,42500,8500,51000,41.90816392,-87.78241617,1221 N HARVEY AVE,,2153.0,5000.0,1925.0,Single-Family,1.0,41.908157623315105,-87.78244499332256,arcgis_pin14,16051010230000,BaseParcel
16051010240000,204,27030,39500,8500,48000,41.90806003,-87.78241707,1217 N HARVEY AVE,,2010.0,5000.0,1925.0,Single-Family,1.0,41.908047890866534,-87.78244123438593,arcgis_pin14,16051010240000,BaseParcel
16051010250000,204,27030,42500,8500,51000,41.90793654,-87.78238348,1213 N HARVEY AVE,,2008.0,5000.0,1924.0,Single-Family,1.0,41.90793815840989,-87.78243747538986,arcgis_pin14,16051010250000,BaseParcel
16051010260000,203,27030,36500,8500,45000,41.90783909,-87.7823755,1211 N HARVEY AVE,,1536.0,5000.0,1924.0,Single-Family,1.0,41.90782842578059,-87.78243369716535,arcgis_pin14,16051010260000,BaseParcel
