pin,class,nbhd,mailed_tot,lat,lon,address,char_apts,char_bldg_sf,char_land_sf,char_yrblt,char_use,pin_num_cards
16071160141009,299,27070,34111,,,"224 N KENILWORTH AVE 3D",,,,,,
16071160141010,299,27070,32602,,,"224 N KENILWORTH AVE 3E",,,,,,
16071160141011,299,27070,45633,,,"224 N KENILWORTH AVE 4A",,,,,,
16071160141012,299,27070,34614,,,"224 N KENILWORTH AVE 4B",,,,,,
16071160141013,299,27070,33607,,,"224 N KENILWORTH AVE 4C",,,,,,
16071160141014,299,27070,55694,,,"224 N KENILWORTH AVE 4D",,,,,,
16071160151001,299,27070,26470,,,"200 N KENILWORTH AVE 1",,,,,,
16071160151002,299,27070,26470,,,"200 N KENILWORTH AVE 2",,,,,,
16071160151003,299,27070,26470,,,"200 N KENILWORTH AVE 3",,,,,,
16071160151004,299,27070,6629,,,"846 ONTARIO ST B",,,,,,
16071160151005,299,27070,26470,,,"202 N KENILWORTH AVE 1",,,,,,
16071160151006,299,27070,26470,,,"202 N KENILWORTH AVE 2",,,,,,
16071160151007,299,27070,26470,,,"202 N KENILWORTH AVE 3",,,,,,
16071160151008,299,27070,12842,,,"202 N KENILWORTH AVE B",,,,,,
16071160151009,299,27070,26470,,,"204 N KENILWORTH AVE 1",,,,,,
16071160151010,299,27070,26470,,,"204 N KENILWORTH AVE 2",,,,,,
16071160151011,299,27070,26470,,,"204 N KENILWORTH AVE 3",,,,,,
16071160151012,299,27070,12013,,,"204 N KENILWORTH AVE B",,,,,,
16071160151013,299,27070,26470,,,"206 N KENILWORTH AVE 1",,,,,,
16071160151014,299,27070,26470,,,"206 N KENILWORTH AVE 2",,,,,,
16071160151015,299,27070,26470,,,"206 N KENILWORTH AVE 3",,,,,,
16071160151016,299,27070,12013,,,"206 N KENILWORTH AVE C",,,,,,
16071160151017,299,27070,26470,,,"208 N KENILWORTH AVE 1",,,,,,
16071160151018,299,27070,26470,,,"208 N KENILWORTH AVE 2",,,,,,
16071160151019,299,27070,26470,,,"208 N KENILWORTH AVE 3",,,,,,
16071160151020,299,27070,13670,,,"208 N KENILWORTH AVE B",,,,,,
16071160161001,299,27070,31510,,,"219 N GROVE AVE 1",,,,,,
